shape,delta_t_K,n_frames,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,precision_std,f1_mean,f1_std,iou_mean,iou_std,snr_like_mean,snr_like_std,detection_probability,detection_probability_std
gaussian,4.0,12,0.9965635738831615,0.006714834508030203,0.0047917862904327995,0.0003854721291628277,0.6238359838579569,0.01959766095571553,0.7671865814663453,0.015617910661015894,0.6225441322214506,0.020550271148532962,7.59232521627964,0.10818782858437774,1.0,0.0
gaussian,6.0,12,1.0,0.0,0.00939217455499955,0.00046467753711949226,0.4589304858243315,0.012291206895250458,0.6290435949524376,0.011547029140904405,0.4589304858243315,0.012291206895250458,10.533035161709938,0.11862018493308989,1.0,0.0
gaussian,8.0,12,1.0,0.0,0.012557077625570708,0.00035576405200765345,0.38797721547199543,0.006700376555118277,0.559023340300444,0.006963859350407631,0.38797721547199543,0.006700376555118277,12.764384362005044,0.08041629254662555,1.0,0.0
gaussian,10.0,12,1.0,0.0,0.015216143056353,0.0003506407243945548,0.3434350293300544,0.005205828402180918,0.5112584749736194,0.0057658304350852885,0.3434350293300544,0.005205828402180918,14.451771637742823,0.06425694365315138,1.0,0.0
rectangle,0.1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27839681990881443,0.06472267349909223,0.0,0.0
rectangle,0.2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5928814629975119,0.06481825138191939,0.0,0.0
rectangle,0.5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.427935240174131,0.061857815066331145,0.0,0.0
rectangle,1.0,12,0.07738095238095236,0.0448933910083977,0.0,0.0,0.9166666666666666,0.28867513459481287,0.1406541788941,0.07838367376153584,0.07738095238095236,0.0448933910083977,2.873383439291952,0.07208016058994342,0.0,0.0
rectangle,1.5,12,0.707908163265306,0.04357149374541622,0.0,0.0,1.0,0.0,0.8282640087535788,0.030491166164609586,0.707908163265306,0.04357149374541622,4.2896448603287265,0.093774858951902,1.0,0.0
rectangle,2.0,12,0.9795918367346937,0.008702070055330994,0.0,0.0,1.0,0.0,0.9896728337166367,0.0044391838361642075,0.9795918367346937,0.008702070055330994,5.791285575998221,0.06825910616346158,1.0,0.0
rectangle,3.0,12,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.715477182837398,0.05311179610429279,1.0,0.0
rectangle,4.0,12,1.0,0.0,6.891608777152939e-06,2.387323309583302e-05,0.9995769881556683,0.0014653560131716195,0.999787955894826,0.000734542327213214,0.9995769881556683,0.0014653560131716195,11.655624699793423,0.14523954342924092,1.0,0.0
rectangle,6.0,12,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,17.66372440760875,0.13032081766988016,1.0,0.0
rectangle,8.0,12,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,23.644193824150744,0.1960951389194369,1.0,0.0
rectangle,10.0,12,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,29.827150249133457,0.20087159750763295,1.0,0.0
