tp,fp,tn,fn,tpr,recall,fpr,precision,f1,iou,noise_type,noise_level,frame_idx,snr_like,gaussian_sigma,fpn_std,quant_bits,defect_rate
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,1.0,1,17.400085181469418,1.0,1.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,1.0,2,17.37892815387434,1.0,1.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,1.0,3,17.425464995787713,1.0,1.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,1.0,4,17.503884897775208,1.0,1.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,1.0,5,17.513349380863847,1.0,1.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,1.0,6,17.545194664901707,1.0,1.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,1.0,7,17.290950818992282,1.0,1.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,1.0,8,17.458571466606642,1.0,1.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,1.0,9,17.414732153374917,1.0,1.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,2.0,0,11.56289226306211,1.0,2.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,2.0,1,11.556884857305523,1.0,2.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,2.0,2,11.660072643377509,1.0,2.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,2.0,3,11.623332089759426,1.0,2.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,2.0,4,11.922369022644475,1.0,2.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,2.0,5,11.541184908641295,1.0,2.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,2.0,6,11.565604794990438,1.0,2.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,2.0,7,11.4567627137396,1.0,2.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,2.0,8,11.802308227223651,1.0,2.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,2.0,9,11.74872745698672,1.0,2.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,4.0,0,6.533486367766427,1.0,4.0,10,0.0
196,0,12091,1,0.9949238578680203,0.9949238578680203,0.0,1.0,0.9974554707379135,0.9949238578680203,fpn,4.0,1,6.4916311903690875,1.0,4.0,10,0.0
196,0,12091,1,0.9949238578680203,0.9949238578680203,0.0,1.0,0.9974554707379135,0.9949238578680203,fpn,4.0,2,6.6748856315677445,1.0,4.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,4.0,3,6.498715099512081,1.0,4.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,4.0,4,6.55675248479495,1.0,4.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,4.0,5,6.571340406759289,1.0,4.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,4.0,6,6.609215789581845,1.0,4.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,4.0,7,6.320409586972578,1.0,4.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,4.0,8,6.380229915471443,1.0,4.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,4.0,9,6.633192833450642,1.0,4.0,10,0.0
183,0,12091,14,0.9289340101522843,0.9289340101522843,0.0,1.0,0.9631578947368421,0.9289340101522843,fpn,6.0,0,4.386469176520146,1.0,6.0,10,0.0
185,0,12091,12,0.9390862944162437,0.9390862944162437,0.0,1.0,0.9685863874345549,0.9390862944162437,fpn,6.0,1,4.407573281050555,1.0,6.0,10,0.0
183,0,12091,14,0.9289340101522843,0.9289340101522843,0.0,1.0,0.9631578947368421,0.9289340101522843,fpn,6.0,2,4.389353588964087,1.0,6.0,10,0.0
190,0,12091,7,0.9644670050761421,0.9644670050761421,0.0,1.0,0.9819121447028424,0.9644670050761421,fpn,6.0,3,4.4875900681521514,1.0,6.0,10,0.0
184,0,12091,13,0.934010152284264,0.934010152284264,0.0,1.0,0.9658792650918635,0.934010152284264,fpn,6.0,4,4.399977556038827,1.0,6.0,10,0.0
185,0,12091,12,0.9390862944162437,0.9390862944162437,0.0,1.0,0.9685863874345549,0.9390862944162437,fpn,6.0,5,4.565520916762733,1.0,6.0,10,0.0
185,0,12091,12,0.9390862944162437,0.9390862944162437,0.0,1.0,0.9685863874345549,0.9390862944162437,fpn,6.0,6,4.4283987690237945,1.0,6.0,10,0.0
183,1,12090,14,0.9289340101522843,0.9289340101522843,8.270614506657845e-05,0.9945652173913043,0.9606299212598426,0.9242424242424242,fpn,6.0,7,4.365341506976456,1.0,6.0,10,0.0
187,0,12091,10,0.949238578680203,0.949238578680203,0.0,1.0,0.9739583333333333,0.949238578680203,fpn,6.0,8,4.448431705686303,1.0,6.0,10,0.0
187,0,12091,10,0.949238578680203,0.949238578680203,0.0,1.0,0.9739583333333333,0.949238578680203,fpn,6.0,9,4.404153430550296,1.0,6.0,10,0.0
104,0,12091,93,0.5279187817258884,0.5279187817258884,0.0,1.0,0.6910299003322259,0.5279187817258884,fpn,8.0,0,3.426231105972288,1.0,8.0,10,0.0
112,0,12091,85,0.5685279187817259,0.5685279187817259,0.0,1.0,0.7249190938511327,0.5685279187817259,fpn,8.0,1,3.4521736704893704,1.0,8.0,10,0.0
98,0,12091,99,0.49746192893401014,0.49746192893401014,0.0,1.0,0.664406779661017,0.49746192893401014,fpn,8.0,2,3.2690473423230237,1.0,8.0,10,0.0
98,0,12091,99,0.49746192893401014,0.49746192893401014,0.0,1.0,0.664406779661017,0.49746192893401014,fpn,8.0,3,3.3672399139068165,1.0,8.0,10,0.0
103,0,12091,94,0.5228426395939086,0.5228426395939086,0.0,1.0,0.6866666666666666,0.5228426395939086,fpn,8.0,4,3.424554019039918,1.0,8.0,10,0.0
97,0,12091,100,0.49238578680203043,0.49238578680203043,0.0,1.0,0.6598639455782312,0.49238578680203043,fpn,8.0,5,3.2933647668375436,1.0,8.0,10,0.0
102,0,12091,95,0.5177664974619289,0.5177664974619289,0.0,1.0,0.6822742474916388,0.5177664974619289,fpn,8.0,6,3.29538146361933,1.0,8.0,10,0.0
89,0,12091,108,0.4517766497461929,0.4517766497461929,0.0,1.0,0.6223776223776224,0.4517766497461929,fpn,8.0,7,3.346328867707257,1.0,8.0,10,0.0
96,0,12091,101,0.4873096446700508,0.4873096446700508,0.0,1.0,0.6552901023890785,0.4873096446700508,fpn,8.0,8,3.399428178362614,1.0,8.0,10,0.0
98,0,12091,99,0.49746192893401014,0.49746192893401014,0.0,1.0,0.664406779661017,0.49746192893401014,fpn,8.0,9,3.31339802180275,1.0,8.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,0.0,0,23.149086808290996,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,0.0,1,22.840627996481505,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,0.0,2,22.90662685297716,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,0.0,3,22.762783933697516,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,quantization,0.0,4,22.977144863992226,1.0,0.0,10,0.0
