temperature_K,fov_case,axis,index,power_W
300,narrow,column,32,2.156405622522968e-09
300,narrow,column,33,2.1574886942594192e-09
300,narrow,column,34,2.15853242361186e-09
300,narrow,column,35,2.1595367239445204e-09
300,narrow,column,36,2.160501511821669e-09
300,narrow,column,37,2.1614267070229597e-09
300,narrow,column,38,2.1623122325581954e-09
300,narrow,column,39,2.163158014681529e-09
300,narrow,column,40,2.163963982905055e-09
300,narrow,column,41,2.164730070011839e-09
300,narrow,column,42,2.1654562120683378e-09
300,narrow,column,43,2.166142348436233e-09
300,narrow,column,44,2.1667884217836476e-09
300,narrow,column,45,2.1673943780958004e-09
300,narrow,column,46,2.1679601666849916e-09
300,narrow,column,47,2.1684857402000345e-09
300,narrow,column,48,2.1689710546350426e-09
300,narrow,column,49,2.1694160693376072e-09
300,narrow,column,50,2.1698207470163625e-09
300,narrow,column,51,2.1701850537479235e-09
300,narrow,column,52,2.170508958983197e-09
300,narrow,column,53,2.1707924355530727e-09
300,narrow,column,54,2.1710354596734916e-09
300,narrow,column,55,2.1712380109498714e-09
300,narrow,column,56,2.171400072380912e-09
300,narrow,column,57,2.1715216303617674e-09
300,narrow,column,58,2.1716026746865782e-09
300,narrow,column,59,2.171643198550383e-09
300,narrow,column,60,2.171643198550383e-09
300,narrow,column,61,2.1716026746865782e-09
300,narrow,column,62,2.1715216303617674e-09
300,narrow,column,63,2.171400072380912e-09
300,narrow,column,64,2.1712380109498714e-09
300,narrow,column,65,2.1710354596734916e-09
300,narrow,column,66,2.1707924355530727e-09
300,narrow,column,67,2.170508958983197e-09
300,narrow,column,68,2.1701850537479235e-09
300,narrow,column,69,2.1698207470163625e-09
300,narrow,column,70,2.1694160693376072e-09
300,narrow,column,71,2.1689710546350426e-09
300,narrow,column,72,2.1684857402000345e-09
300,narrow,column,73,2.1679601666849916e-09
300,narrow,column,74,2.1673943780958004e-09
300,narrow,column,75,2.1667884217836476e-09
300,narrow,column,76,2.166142348436233e-09
300,narrow,column,77,2.1654562120683378e-09
300,narrow,column,78,2.164730070011839e-09
300,narrow,column,79,2.163963982905055e-09
300,narrow,column,80,2.163158014681529e-09
300,narrow,column,81,2.1623122325581954e-09
300,narrow,column,82,2.1614267070229597e-09
300,narrow,column,83,2.160501511821669e-09
300,narrow,column,84,2.1595367239445204e-09
300,narrow,column,85,2.15853242361186e-09
300,narrow,column,86,2.1574886942594192e-09
300,narrow,column,87,2.156405622522968e-09
300,narrow,column,88,2.1552832982224106e-09
300,narrow,column,89,2.154121814345302e-09
300,narrow,column,90,2.1529212670298137e-09
300,narrow,column,91,2.151681755547143e-09
300,narrow,column,92,2.1504033822833826e-09
300,narrow,column,93,2.1490862527208354e-09
300,narrow,column,94,2.147730475418795e-09
300,narrow,column,95,2.1463361619938148e-09
