temperature_K,fov_case,radius_px,mean_power_W
420,medium,3.723751888217044,8.306504843986716e-09
420,medium,6.206253147028407,8.302269190824379e-09
420,medium,8.68875440583977,8.295903950951455e-09
420,medium,11.171255664651131,8.28746194129143e-09
420,medium,13.653756923462495,8.277324977984354e-09
420,medium,16.136258182273856,8.264963101174232e-09
420,medium,18.61875944108522,8.250226170966624e-09
420,medium,21.10126069989658,8.233567644446574e-09
420,medium,23.583761958707946,8.214935560194852e-09
420,medium,26.066263217519307,8.194488389256782e-09
420,medium,28.54876447633067,8.171630022754317e-09
420,medium,31.031265735142032,8.147265080267539e-09
420,medium,33.513766993953396,8.120908568775746e-09
420,medium,35.996268252764764,8.092944438440869e-09
420,medium,38.47876951157612,8.06237440244284e-09
420,medium,40.961270770387486,8.030273965415793e-09
420,medium,43.44377202919884,7.996284403516253e-09
420,medium,45.92627328801021,7.961011329665155e-09
420,medium,48.408774546821576,7.9237259943665e-09
420,medium,50.89127580563293,7.884834089395716e-09
420,medium,53.3737770644443,7.844009460920084e-09
420,medium,55.856278323255665,7.802031650805019e-09
420,medium,58.33877958206702,7.758418037263583e-09
420,medium,60.82128084087839,7.713792570275905e-09
420,medium,63.30378209968974,7.66668517069723e-09
420,medium,65.78628335850111,7.618810926356096e-09
420,medium,68.26878461731248,7.569378866519391e-09
420,medium,70.75128587612383,7.518357240831476e-09
420,medium,73.2337871349352,7.466037785623552e-09
420,medium,75.71628839374657,7.413211325264569e-09
420,medium,78.19878965255792,7.358876797237442e-09
420,medium,80.68129091136929,7.3052306263964515e-09
420,medium,83.16379217018064,7.247497038909503e-09
420,medium,85.64629342899201,7.1900172490070134e-09
420,medium,88.12879468780338,7.1308777063591025e-09
420,medium,90.61129594661473,7.0706688845932065e-09
420,medium,93.0937972054261,7.010832462937706e-09
420,medium,95.57629846423745,6.951030016302549e-09
420,medium,98.05879972304882,6.895416861432877e-09
300,wide,1.2412506294056813,2.1714157915497365e-09
300,wide,3.723751888217044,2.170205019163661e-09
300,wide,6.206253147028407,2.167843091488886e-09
300,wide,8.68875440583977,2.1642975692338643e-09
300,wide,11.171255664651131,2.1596022726877814e-09
300,wide,13.653756923462495,2.1539750816103755e-09
300,wide,16.136258182273856,2.1471286281725435e-09
300,wide,18.61875944108522,2.138989414467783e-09
300,wide,21.10126069989658,2.1298183422178776e-09
300,wide,23.583761958707946,2.1195978562738355e-09
300,wide,26.066263217519307,2.1084264804018025e-09
300,wide,28.54876447633067,2.0959931750222277e-09
300,wide,31.031265735142032,2.0828038985870302e-09
300,wide,33.513766993953396,2.068610935069494e-09
300,wide,35.996268252764764,2.053635275083518e-09
300,wide,38.47876951157612,2.0373626363266198e-09
300,wide,40.961270770387486,2.0203834730006853e-09
300,wide,43.44377202919884,2.0025273077731656e-09
300,wide,45.92627328801021,1.9841264868098433e-09
300,wide,48.408774546821576,1.964821161981533e-09
300,wide,50.89127580563293,1.944838781077716e-09
300,wide,53.3737770644443,1.9240349726770555e-09
300,wide,55.856278323255665,1.9028221539125582e-09
300,wide,58.33877958206702,1.880976406987053e-09
300,wide,60.82128084087839,1.8588232405507606e-09
300,wide,63.30378209968974,1.8356564097313892e-09
300,wide,65.78628335850111,1.8123395587650411e-09
300,wide,68.26878461731248,1.788502406819897e-09
300,wide,70.75128587612383,1.7641498738145316e-09
300,wide,73.2337871349352,1.7394392494160197e-09
300,wide,75.71628839374657,1.714756087373699e-09
300,wide,78.19878965255792,1.689644466469042e-09
300,wide,80.68129091136929,1.6651229417958033e-09
300,wide,83.16379217018064,1.6390314758653036e-09
300,wide,85.64629342899201,1.6133573993757875e-09
300,wide,88.12879468780338,1.5872569983349146e-09
300,wide,90.61129594661473,1.5610036742278693e-09
300,wide,93.0937972054261,1.5352323212962022e-09
300,wide,95.57629846423745,1.5097868757464474e-09
300,wide,98.05879972304882,1.4863996347888885e-09
340,wide,1.2412506294056813,3.739404337729806e-09
340,wide,3.723751888217044,3.737319261472134e-09
340,wide,6.206253147028407,3.733251775812856e-09
340,wide,8.68875440583977,3.727146016910513e-09
340,wide,11.171255664651131,3.7190602268284483e-09
340,wide,13.653756923462495,3.7093696172243482e-09
340,wide,16.136258182273856,3.6975793107417643e-09
340,wide,18.61875944108522,3.683562736324403e-09
340,wide,21.10126069989658,3.667769193933126e-09
340,wide,23.583761958707946,3.65016845177145e-09
340,wide,26.066263217519307,3.6309301780346288e-09
340,wide,28.54876447633067,3.6095187301444395e-09
340,wide,31.031265735142032,3.586805421295333e-09
340,wide,33.513766993953396,3.562363658667808e-09
340,wide,35.996268252764764,3.5365740111346856e-09
340,wide,38.47876951157612,3.5085508309631782e-09
340,wide,40.961270770387486,3.479310941836873e-09
340,wide,43.44377202919884,3.448560764018855e-09
340,wide,45.92627328801021,3.416872632249799e-09
340,wide,48.408774546821576,3.3836268505412934e-09
340,wide,50.89127580563293,3.349215107695591e-09
340,wide,53.3737770644443,3.313388781076125e-09
340,wide,55.856278323255665,3.2768580959755885e-09
340,wide,58.33877958206702,3.239237442606442e-09
340,wide,60.82128084087839,3.2010873807948346e-09
340,wide,63.30378209968974,3.1611916832529183e-09
340,wide,65.78628335850111,3.121037635380063e-09
340,wide,68.26878461731248,3.0799875749864345e-09
340,wide,70.75128587612383,3.038049974684661e-09
340,wide,73.2337871349352,2.9954957036770525e-09
340,wide,75.71628839374657,2.9529887257094345e-09
340,wide,78.19878965255792,2.9097438969190532e-09
340,wide,80.68129091136929,2.8675152753497983e-09
