scenario,alpha,window,snr_like,tpr,fpr,precision,f1,iou,detection_delay_frames,peak_amplitude_ratio,detection_probability,mean_center_error_px
appearing_and_growing,0.6,3,18.85980606030238,0.9252796420581656,5.674724775848372e-06,0.9481729341608859,0.9296030213045718,0.9250999254287845,4.0,0.9924767829540273,0.9333333333333333,0.09303850720767341
appearing_and_growing,0.6,5,21.05819542324633,0.9159955257270693,1.1349449551696744e-05,0.9323416973321642,0.9205863898653106,0.9154444444444445,5.0,0.9920405756750468,0.9166666666666666,0.03063465110935366
appearing_and_growing,0.6,10,22.610796610514324,0.896420581655481,9.457874626413953e-06,0.916040990857761,0.9015820610018171,0.8959142431021625,6.0,0.9916750112509861,0.9,0.035724843793666985
appearing_and_growing,0.9,1,21.117611694335938,0.9167785234899329,0.0,0.9333333333333333,0.9218367098042108,0.9167785234899329,4.0,0.9829666738626871,0.9333333333333333,0.017118351185856515
appearing_and_growing,0.9,3,20.613490549723306,0.9033557046979865,1.8915749252827904e-06,0.9165555555555556,0.9078890472770269,0.9032445935868754,5.0,0.982226158900975,0.9166666666666666,0.016317710781385643
appearing_and_growing,0.9,5,20.110158030192057,0.8876957494407158,0.0,0.9,0.8921191061602021,0.8876957494407158,6.0,0.9815281284534105,0.9,0.018442196451923368
appearing_and_growing,0.9,10,18.854122924804688,0.8586129753914988,0.0,0.8833333333333333,0.8647540533206999,0.8586129753914988,8.0,0.97917962403181,0.8666666666666667,0.04768476951314447
background_drift,0.0,1,9.75773918763559,1.0,2.979230507320395e-05,0.9982533112582781,0.9991229096989965,0.9982533112582781,0.0,1.0,1.0,0.009998862997211564
background_drift,0.0,3,16.778442367592586,1.0,7.093405969810465e-06,0.9995833333333334,0.9997909698996654,0.9995833333333334,0.0,0.9904090798415657,1.0,0.003190495239470836
background_drift,0.0,5,21.492917172319835,1.0,2.837362387924186e-06,0.9998333333333334,0.9999163879598661,0.9998333333333334,0.0,0.9857881579232852,1.0,0.0012611104633469899
background_drift,0.0,10,29.594500247690018,1.0,4.2560435818862785e-06,0.9997499999999999,0.9998745819397993,0.9997499999999999,0.0,0.9790308310571854,1.0,0.0019131783952869256
background_drift,0.3,1,13.249121997145048,1.0,9.93076835773465e-06,0.9994166666666665,0.9997073578595316,0.9994166666666665,0.0,0.9943815105265315,1.0,0.004426068210870082
background_drift,0.3,3,18.84365264094584,1.0,9.93076835773465e-06,0.999417770419426,0.9997076365663322,0.999417770419426,0.0,0.9868228509988934,1.0,0.003338393150959429
background_drift,0.3,5,22.962241020881994,1.0,1.418681193962093e-06,0.9999166666666668,0.9999581939799331,0.9999166666666668,0.0,0.9848797880470289,1.0,0.0005892556509887938
background_drift,0.3,10,29.55720193873126,1.0,5.674724775848372e-06,0.9996666666666666,0.9998327759197323,0.9996666666666666,0.0,0.9786480042622026,1.0,0.0025478261541089357
background_drift,0.6,1,19.26939847958435,1.0,7.093405969810465e-06,0.9995833333333334,0.9997909698996654,0.9995833333333334,0.0,0.9878146327586913,1.0,0.003147537574405167
background_drift,0.6,3,23.129791349152157,1.0,2.837362387924186e-06,0.9998333333333334,0.9999163879598661,0.9998333333333334,0.0,0.9847708222338474,1.0,0.0012239034098108037
background_drift,0.6,5,26.10775373897219,1.0,0.0,1.0,1.0,1.0,0.0,0.9827303650595817,1.0,0.0
background_drift,0.6,10,29.24348851130021,1.0,5.674724775848372e-06,0.9996666666666666,0.9998327759197323,0.9996666666666666,0.0,0.9780891928574356,1.0,0.0025385910352880396
background_drift,0.9,1,28.611076379680128,1.0,2.837362387924186e-06,0.9998333333333334,0.9999163879598661,0.9998333333333334,0.0,0.9786267896791053,1.0,0.0012692955176440198
background_drift,0.9,3,28.383267586814448,1.0,5.674724775848372e-06,0.9996666666666666,0.9998327759197323,0.9996666666666666,0.0,0.9785718246228987,1.0,0.0025106191005727493
background_drift,0.9,5,28.1498211163291,1.0,5.674724775848372e-06,0.9996666666666666,0.9998327759197323,0.9996666666666666,0.0,0.9775130240664981,1.0,0.0025385910352880396
background_drift,0.9,10,27.583809568062776,1.0,7.093405969810465e-06,0.9995833333333334,0.9997909698996654,0.9995833333333334,0.0,0.9759754489415611,1.0,0.0031732387941100495
intermittent,0.0,1,9.701998429588865,1.0,3.5467029849052323e-06,0.9997916666666666,0.9998954849498327,0.9997916666666666,0.0,1.0,1.0,0.001502313031443256
intermittent,0.0,3,15.261280363556894,0.9997902684563759,3.5467029849052323e-06,0.9997916666666666,0.9997902660946139,0.9995819351230425,0.0,0.9938091373249934,1.0,0.002530904860526182
intermittent,0.0,5,17.650409835742302,0.988255033557047,0.0,1.0,0.9937313684595463,0.988255033557047,0.0,0.9931374708579048,1.0,0.016223593433996146
intermittent,0.0,10,17.63690031504465,0.9435822147651007,0.0,1.0,0.9596288798226216,0.9435822147651007,0.0,0.9881490044996233,1.0,0.040242456221332636
intermittent,0.3,1,12.702483218806993,1.0,0.0,1.0,1.0,1.0,0.0,0.9936815059126853,1.0,0.0
intermittent,0.3,3,16.446836907981762,0.9922399328859061,3.5467029849052323e-06,0.9997916666666666,0.9958428662701713,0.9920315995525727,0.0,0.9923268389148668,1.0,0.011102918349362112
