row,col,coef_a,coef_b
1,76,1.0429360256834213,-55.15176504629614
1,77,1.0491811515857172,12.520419230982647
1,78,1.0555015199687638,-9.765199687639258
1,79,1.0555015199687638,-148.03589880354744
1,80,1.0555015199687638,-175.47893832273522
1,81,1.0683734897244803,-95.74995765582642
1,82,1.0683734897244803,145.70245102190609
1,83,1.0749279283117472,-30.965886659281896
1,84,1.0749279283117472,29.230077326175987
1,85,1.0815632858939184,-121.12712548582518
1,86,1.0815632858939184,-237.9359603623682
1,87,1.0882810702783527,94.48688211697728
1,88,1.0950828269675923,77.35325701678248
1,89,1.101970140344747,116.20459177731203
1,90,1.101970140344747,-184.6332565368041
1,91,1.108944634903891,-106.16321825187526
1,92,1.108944634903891,91.22892676101746
1,93,1.1231618738129152,-59.64441254154782
1,94,1.1231618738129152,3.2526523919752948
1,95,1.1231618738129152,-180.9458949133427
2,0,1.1231618738129152,53.794936713556616
2,1,1.1160079765274826,-178.47064645258303
2,2,1.1160079765274826,30.222845158056256
2,3,1.108944634903891,63.50531088842022
2,4,1.101970140344747,-129.53474951956645
2,5,1.0950828269675923,-148.2338053385416
2,6,1.0950828269675923,147.4385579427084
2,7,1.0950828269675923,21.50403284143522
2,8,1.0815632858939184,-23.786429755372442
2,9,1.0815632858939184,-102.74054962562855
2,10,1.0749279283117472,102.32517645137469
2,11,1.0683734897244803,-6.006584518970091
2,12,1.0683734897244803,189.50576410060984
2,13,1.0618984988776654,-87.53966926206485
2,14,1.0618984988776654,73.86890256734014
2,15,1.0618984988776654,137.5828125000001
2,16,1.0491811515857172,4.126970018296778
2,17,1.0491811515857172,38.74994802062555
2,18,1.0491811515857172,169.89759196884006
2,19,1.0367648065965371,-21.45690883190878
2,20,1.0429360256834213,-102.08388620205005
2,21,1.0367648065965371,-87.80985645408715
2,22,1.0306661900871457,-78.85708741830055
2,23,1.0306661900871457,73.681508714597
2,24,1.0246389024258173,-136.61055778914877
2,25,1.0246389024258173,3.764971843188287
2,26,1.0246389024258173,26.307027696556283
2,27,1.0186816995047372,-29.684722558677812
2,28,1.0186816995047372,76.25817418981497
2,29,1.0127933659815884,142.84933800310435
2,30,1.0186816995047372,-60.245173543819895
2,31,1.0127933659815884,82.08173604420894
2,32,1.0069727144529586,-22.928638183801493
2,33,1.0127933659815884,-108.32341676032961
2,34,1.0069727144529586,26.41302482439349
2,35,1.0012185846560844,-73.6743088624337
2,36,1.0012185846560844,-112.72183366402102
2,37,1.0012185846560844,14.432926587301772
2,38,1.0012185846560844,-165.78641865079356
2,39,1.0012185846560844,17.436582341269823
2,40,0.9955298426978113,30.46380142571566
2,41,1.0012185846560844,-63.662123015873036
2,42,1.0012185846560844,-51.64749999999983
2,43,0.9955298426978113,16.52638362794625
2,44,0.9955298426978113,-15.33057133838371
2,45,1.0012185846560844,-23.61337962962953
2,46,1.0012185846560844,132.57671957671974
2,47,1.0012185846560844,251.72173115079366
2,48,1.0012185846560844,142.5889054232804
2,49,1.0012185846560844,56.48410714285731
2,50,0.9955298426978113,-106.91931686658228
2,51,1.0012185846560844,168.6205886243386
2,52,1.0012185846560844,-74.67552744708972
2,53,1.0012185846560844,-32.62434689153435
2,54,1.0012185846560844,-232.8680638227512
2,55,1.0012185846560844,14.432926587301772
2,56,1.0012185846560844,-9.596319444444463
2,57,1.0012185846560844,45.47070271164029
2,58,1.0069727144529586,48.56642454235859
2,59,1.0069727144529586,-62.2005740474669
2,60,1.0069727144529586,-26.956529041613223
2,61,1.0069727144529586,-109.5282916267561
2,62,1.0069727144529586,10.301461393146068
2,63,1.0127933659815884,-196.43643960072774
2,64,1.0127933659815884,-23.248774017876208
2,65,1.0127933659815884,9.160613693534618
2,66,1.0127933659815884,89.17128960608025
2,67,1.0186816995047372,-43.946266351744185
2,68,1.0186816995047372,2.9130918254737734
2,69,1.0246389024258173,32.454861111111114
2,70,1.0246389024258173,-305.6759766894086
2,71,1.0246389024258173,-62.836556814489775
2,72,1.0306661900871457,40.70019063180833
2,73,1.0367648065965371,-195.63339634012698
2,74,1.0367648065965371,117.4695752520273
2,75,1.0367648065965371,-204.9642795994957
2,76,1.0429360256834213,-38.46478863536149
2,77,1.0491811515857172,-21.053377619760305
2,78,1.0491811515857172,-207.80762260201809
2,79,1.0491811515857172,17.766324988911055
2,80,1.0555015199687638,-51.98526048638994
2,81,1.0555015199687638,-99.48282888498426
2,82,1.0618984988776654,88.73548155162752
2,83,1.0683734897244803,-10.280078477868079
2,84,1.0683734897244803,73.05305372064144
2,85,1.0749279283117472,60.40298724721669
2,86,1.0815632858939184,29.210171253429394
2,87,1.0815632858939184,-91.92491676668938
2,88,1.0882810702783527,-57.87246772199211
2,89,1.0950828269675923,52.16635199652774
2,90,1.101970140344747,-9.420004221989258
2,91,1.101970140344747,6.007577742837258
2,92,1.108944634903891,150.00299241092378
2,93,1.1160079765274826,-33.38960950401023
2,94,1.1231618738129152,-133.77309621320026
2,95,1.1304080794504179,-182.32267398446808
3,0,1.1160079765274826,7.902685627506624
3,1,1.1160079765274826,-209.71886979535245
3,2,1.108944634903891,-60.696488220815674
3,3,1.101970140344747,21.435159707663775
3,4,1.0950828269675923,43.405689380787045
3,5,1.0950828269675923,-123.04690031828686
3,6,1.0882810702783527,-191.7310393662293
3,7,1.0882810702783527,-128.61073729008515
3,8,1.0815632858939184,82.20677226223141
3,9,1.0815632858939184,-14.052360182327297
3,10,1.0749279283117472,-125.55954435071551
3,11,1.0683734897244803,-100.02345161472424
3,12,1.0618984988776654,147.13989898989914
3,13,1.0618984988776654,-13.206774340628357
3,14,1.0555015199687638,-16.09820880745194
3,15,1.0555015199687638,93.67394926929944
3,16,1.0491811515857172,-150.10265926480352
3,17,1.0491811515857172,174.0943165751831
3,18,1.0429360256834213,-88.52571786816563
3,19,1.0429360256834213,-36.37891658399444
3,20,1.0306661900871457,-95.34774645969497
3,21,1.0306661900871457,-27.323777913943154
3,22,1.0306661900871457,-9.80245268246183
3,23,1.0246389024258173,-10.57997279077304
3,24,1.0246389024258173,-10.57997279077304
3,25,1.0246389024258173,-18.777084010179706
3,26,1.0186816995047372,-56.17044674580088
3,27,1.0127933659815884,27.390894281203156
3,28,1.0186816995047372,78.29553758882447
3,29,1.0127933659815884,132.72140434328847
3,30,1.0069727144529586,47.55945182790553
3,31,1.0069727144529586,117.04056912515983
3,32,1.0069727144529586,74.74771511813542
3,33,1.0069727144529586,-8.831020181460023
3,34,1.0069727144529586,85.82441497711805
3,35,1.0012185846560844,-24.614598214285547
3,36,1.0012185846560844,67.49751157407417
3,37,1.0012185846560844,-89.69380621693097
3,38,1.0012185846560844,0.41586640211653764
3,39,0.9955298426978113,137.9810244370793
3,40,0.9955298426978113,56.34757733585866
3,41,1.0012185846560844,56.48410714285731
3,42,0.9955298426978113,13.539794099852854
3,43,0.9955298426978113,5.575555358270239
3,44,0.9955298426978113,0.5979061447813531
3,45,0.989905380309688,-40.79813703180568
3,46,0.989905380309688,34.434671871730465
3,47,0.989905380309688,167.08199283322884
3,48,0.9955298426978113,-2.38868338331221
3,49,0.9955298426978113,-81.03554095643928
3,50,0.9955298426978113,1.5934359874789317
3,51,0.989905380309688,158.1728444104416
3,52,0.9955298426978113,-1.3931535406143005
3,53,0.9955298426978113,-130.81203309133014
3,54,0.9955298426978113,-36.236698035037655
3,55,0.9955298426978113,-52.16517551820289
3,56,0.9955298426978113,-104.92825718118662
3,57,0.9955298426978113,-16.32610118108162
3,58,1.0012185846560844,-2.5877893518516792
3,59,1.0012185846560844,49.47557705026469
3,60,1.0012185846560844,-41.63531415343917
3,61,1.0012185846560844,-21.610942460317332
3,62,1.0069727144529586,-121.61196420019147
3,63,1.0069727144529586,-57.16571047520211
3,64,1.0069727144529586,-3.796156609195235
3,65,1.0069727144529586,50.58036997126437
3,66,1.0127933659815884,118.54229721954619
3,67,1.0127933659815884,-91.10592953864258
3,68,1.0186816995047372,32.454861111111185
3,69,1.0186816995047372,-183.50565918389304
3,70,1.0246389024258173,-67.95975132661886
3,71,1.0246389024258173,-104.84675181394834
3,72,1.0246389024258173,81.63752842755044
3,73,1.0246389024258173,20.15919428200145
3,74,1.0367648065965371,136.13134177076492
3,75,1.0367648065965371,-59.81720667598065
3,76,1.0429360256834213,-24.90662030147706
3,77,1.0429360256834213,-9.262579916225583
3,78,1.0429360256834213,-119.81379863866823
3,79,1.0491811515857172,-47.28290640940338
3,80,1.0491811515857172,-55.676355622089076
3,81,1.0555015199687638,-27.708725527108257
3,82,1.0618984988776654,94.04497404601584
3,83,1.0618984988776654,22.897774621212122
3,84,1.0683734897244803,-172.67284891598896
3,85,1.0749279283117472,-85.78721100318104
3,86,1.0749279283117472,-47.08980558395808
3,87,1.0815632858939184,28.12860796753555
3,88,1.0815632858939184,-139.5137013460218
3,89,1.0882810702783527,86.86891462502896
3,90,1.0950828269675923,22.59911566840274
3,91,1.0950828269675923,131.0123155381945
3,92,1.101970140344747,-52.39683969543424
3,93,1.108944634903891,-105.05427361697126
3,94,1.1160079765274826,-32.273601527482825
3,95,1.1160079765274826,-167.3105666873082
4,0,1.1160079765274826,-27.80956962137282
4,1,1.1160079765274826,-115.97419976704394
4,2,1.108944634903891,-90.63799336322073
4,3,1.101970140344747,-27.05152646750512
4,4,1.101970140344747,-115.20913769508479
4,5,1.0882810702783527,-54.607624511156914
4,6,1.0882810702783527,57.48532572751344
4,7,1.0815632858939184,-71.37521433470488
4,8,1.0749279283117472,-133.08403984889796
4,9,1.0749279283117472,-167.48173355487384
4,10,1.0683734897244803,-123.5276683886628
4,11,1.0618984988776654,-105.59194374298536
4,12,1.0555015199687638,198.1685997462071
