tp,fp,tn,fn,tpr,recall,fpr,precision,f1,iou,size_px,fill_factor,frame_idx,snr_like,anomaly_area_px
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.25,3,4.01703369136927,4
0,0,12284,4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.25,4,3.679606199177743,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.25,5,4.724684737255811,4
0,0,12284,4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.25,6,2.779850316089363,4
0,0,12284,4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.25,7,3.119504091306477,4
0,0,12284,4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.25,8,4.870051318753531,4
0,0,12284,4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.25,9,3.7703686246983072,4
12,0,12272,4,0.75,0.75,0.0,1.0,0.8571428571428571,0.75,4,0.25,0,4.136609985789883,16
14,0,12272,2,0.875,0.875,0.0,1.0,0.9333333333333333,0.875,4,0.25,1,4.0528625319053075,16
13,0,12272,3,0.8125,0.8125,0.0,1.0,0.896551724137931,0.8125,4,0.25,2,4.009399339245129,16
13,1,12271,3,0.8125,0.8125,8.148631029986962e-05,0.9285714285714286,0.8666666666666666,0.7647058823529411,4,0.25,3,3.9137131896776127,16
11,0,12272,5,0.6875,0.6875,0.0,1.0,0.8148148148148148,0.6875,4,0.25,4,3.587495227494315,16
13,0,12272,3,0.8125,0.8125,0.0,1.0,0.896551724137931,0.8125,4,0.25,5,3.8718603837471646,16
11,0,12272,5,0.6875,0.6875,0.0,1.0,0.8148148148148148,0.6875,4,0.25,6,3.829608158676231,16
0,0,12272,16,0.0,0.0,0.0,0.0,0.0,0.0,4,0.25,7,3.7497304343964375,16
10,0,12272,6,0.625,0.625,0.0,1.0,0.7692307692307693,0.625,4,0.25,8,3.7443055790729685,16
14,0,12272,2,0.875,0.875,0.0,1.0,0.9333333333333333,0.875,4,0.25,9,4.231824847096562,16
46,0,12224,18,0.71875,0.71875,0.0,1.0,0.8363636363636363,0.71875,8,0.25,0,3.8254093075829183,64
