scenario,alpha,window,snr_like,tpr,fpr,precision,iou,detection_delay_frames,peak_amplitude_ratio
appearing,0.9,10,15.303711976564017,0.6511744966442953,7.093405969810465e-06,0.9370833333333334,0.9132578299776286,8.0,0.9737433994250368
moving,0.0,1,9.698257379394372,1.0,1.5541991635582685e-05,0.9987938596491228,0.9987938596491228,0.0,1.0
moving,0.0,3,13.525872311324088,0.9991150442477876,0.002886571719226857,0.8161068165975511,0.8155313691853638,0.0,0.9608464988365347
moving,0.0,5,13.00944791800389,0.9848451327433627,0.005418503447496326,0.7008785900010597,0.6935970624696589,0.0,0.9608464988365347
moving,0.0,10,8.526416735795975,0.9396017699115042,0.01066180626200972,0.5370042303547529,0.5203802796741888,0.0,0.9608464988365347
moving,0.3,1,12.407164879590479,1.0,0.0011331524810670288,0.9188049641145224,0.9188049641145224,0.0,0.9608464988365347
moving,0.3,3,13.519545639186612,0.9893805309734512,0.0033090313100486045,0.7933289320742366,0.786670440342979,0.0,0.9608464988365347
moving,0.3,5,12.095540925159382,0.9517699115044248,0.0057759692551147285,0.6800528921866087,0.6578537338586707,0.0,0.9608464988365347
moving,0.3,10,7.681267804889542,0.9069690265486725,0.011373912060585509,0.5128123812891806,0.48847585742059146,0.0,0.9608464988365347
moving,0.6,1,14.428463968039718,0.9998893805309734,0.004177969933310727,0.7548307054087975,0.7547418165199085,0.0,0.9608464988365347
moving,0.6,3,12.290421303911973,0.9436946902654867,0.006259183904148298,0.6610549114213107,0.6359076726306345,0.0,0.9608464988365347
moving,0.6,5,10.05309732724688,0.903429203539823,0.00826127500847745,0.5876658955793085,0.5531384087155873,0.0,0.9608464988365347
moving,0.6,10,6.151302510554048,0.8560840707964601,0.012970498474059003,0.46872557345916854,0.43513487726033206,0.0,0.9608464988365347
moving,0.9,1,7.5078806931205335,0.95929203539823,0.022294280547078105,0.38135812316165707,0.3699106715285675,0.0,0.9608464988365347
moving,0.9,3,5.9695286015445115,0.8544247787610619,0.023717079235899174,0.344551939335513,0.3207008521602149,,0.9608464988365347
moving,0.9,5,4.820812864013209,0.7871681415929205,0.024918051316830565,0.31844550184369336,0.28855466774079197,,0.9608464988365347
moving,0.9,10,3.018694871829704,0.6722345132743361,0.02778766813609133,0.26932622745367113,0.2343775321553372,,0.9608464988365347
