tp,fp,tn,fn,tpr,recall,fpr,precision,f1,iou,algorithm,parameter,frame_id,has_anomaly,delta_t,size,noise,shape,snr_like,runtime_s
576,1,11711,0,1.0,1.0,8.538251366120219e-05,0.9982668977469671,0.9991326973113617,0.9982668977469671,global_threshold,k=2,18,True,2.0,24,1.5,rectangle,7.547294632876316,0.000541007990250364
576,0,11712,0,1.0,1.0,0.0,1.0,1.0,1.0,global_threshold,k=2,19,True,2.0,24,1.5,rectangle,7.0976162779839935,0.0005016610084567219
440,133,11714,1,0.9977324263038548,0.9977324263038548,0.011226470836498692,0.7678883071553229,0.8678500986193294,0.7665505226480837,global_threshold,k=2,20,True,2.0,24,3.0,circle,3.937995573180726,0.0016241700068349019
436,165,11682,5,0.9886621315192744,0.9886621315192744,0.013927576601671309,0.7254575707154742,0.8368522072936659,0.7194719471947195,global_threshold,k=2,21,True,2.0,24,3.0,circle,3.711524274395272,0.0016139479994308203
574,140,11572,2,0.9965277777777778,0.9965277777777778,0.011953551912568305,0.803921568627451,0.889922480620155,0.8016759776536313,global_threshold,k=2,22,True,2.0,24,3.0,rectangle,3.982934810039373,0.0016011249972507358
571,121,11591,5,0.9913194444444444,0.9913194444444444,0.010331284153005464,0.8251445086705202,0.9006309148264985,0.8192252510760402,global_threshold,k=2,23,True,2.0,24,3.0,rectangle,3.786095818655414,0.0016186090069822967
49,0,12239,0,1.0,1.0,0.0,1.0,1.0,1.0,global_threshold,k=2,24,True,4.0,8,1.5,circle,14.393920770202515,0.0006197190086822957
49,0,12239,0,1.0,1.0,0.0,1.0,1.0,1.0,global_threshold,k=2,25,True,4.0,8,1.5,circle,14.61587936042048,0.0006654729950241745
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,global_threshold,k=2,26,True,4.0,8,1.5,rectangle,14.531407106577177,0.0005749239935539663
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,global_threshold,k=2,27,True,4.0,8,1.5,rectangle,14.4954524931351,0.0006532099941978231
49,110,12129,0,1.0,1.0,0.008987662390718196,0.3081761006289308,0.47115384615384615,0.3081761006289308,global_threshold,k=2,28,True,4.0,8,3.0,circle,7.735992852762229,0.0016419830062659457
49,147,12092,0,1.0,1.0,0.012010785194868862,0.25,0.4,0.25,global_threshold,k=2,29,True,4.0,8,3.0,circle,7.903875769182124,0.0016632729966659099
64,110,12114,0,1.0,1.0,0.00899869109947644,0.367816091954023,0.5378151260504201,0.367816091954023,global_threshold,k=2,30,True,4.0,8,3.0,rectangle,7.877983731913175,0.0016257560055237263
64,120,12104,0,1.0,1.0,0.00981675392670157,0.34782608695652173,0.5161290322580645,0.34782608695652173,global_threshold,k=2,31,True,4.0,8,3.0,rectangle,7.620427541343211,0.0016318029956892133
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,global_threshold,k=2,32,True,4.0,16,1.5,circle,14.76462369968939,0.0005497660022228956
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,global_threshold,k=2,33,True,4.0,16,1.5,circle,14.627715485100433,0.0006416760006686673
