tp,fp,tn,fn,tpr,recall,fpr,precision,f1,iou,filter,label,frame_idx,snr_before,snr_after,snr_improvement,contrast_before,contrast_after,contrast_change,params
138,0,12139,11,0.9261744966442953,0.9261744966442953,0.0,1.0,0.9616724738675958,0.9261744966442953,none,none,10,0.8297047864677873,0.8297047864677873,0.0,22.802197439326136,22.802197439326136,0.0,{}
138,0,12139,11,0.9261744966442953,0.9261744966442953,0.0,1.0,0.9616724738675958,0.9261744966442953,none,none,11,1.0747780466188417,1.0747780466188417,0.0,28.48448086556752,28.48448086556752,0.0,{}
142,0,12139,7,0.9530201342281879,0.9530201342281879,0.0,1.0,0.9759450171821306,0.9530201342281879,none,none,12,0.7975702665964833,0.7975702665964833,0.0,21.138410548184652,21.138410548184652,0.0,{}
142,0,12139,7,0.9530201342281879,0.9530201342281879,0.0,1.0,0.9759450171821306,0.9530201342281879,none,none,13,0.8959729304041005,0.8959729304041005,0.0,22.975527759078005,22.975527759078005,0.0,{}
137,0,12139,12,0.9194630872483222,0.9194630872483222,0.0,1.0,0.958041958041958,0.9194630872483222,none,none,14,0.885733425225472,0.885733425225472,0.0,22.72255353043741,22.72255353043741,0.0,{}
145,0,12139,4,0.9731543624161074,0.9731543624161074,0.0,1.0,0.9863945578231292,0.9731543624161074,none,none,15,0.9755375574485559,0.9755375574485559,0.0,24.08471717510264,24.08471717510264,0.0,{}
136,0,12139,13,0.912751677852349,0.912751677852349,0.0,1.0,0.9543859649122807,0.912751677852349,none,none,16,0.8357383526811024,0.8357383526811024,0.0,22.96094511830296,22.96094511830296,0.0,{}
141,0,12139,8,0.9463087248322147,0.9463087248322147,0.0,1.0,0.9724137931034482,0.9463087248322147,none,none,17,0.8297315014323717,0.8297315014323717,0.0,22.79879168709354,22.79879168709354,0.0,{}
143,1,12138,6,0.959731543624161,0.959731543624161,8.237910865804432e-05,0.9930555555555556,0.9761092150170648,0.9533333333333334,none,none,18,0.8282361002571499,0.8282361002571499,0.0,23.48098920596513,23.48098920596513,0.0,{}
136,0,12139,13,0.912751677852349,0.912751677852349,0.0,1.0,0.9543859649122807,0.912751677852349,none,none,19,0.791123934282152,0.791123934282152,0.0,23.098408229378123,23.098408229378123,0.0,{}
141,0,12139,8,0.9463087248322147,0.9463087248322147,0.0,1.0,0.9724137931034482,0.9463087248322147,none,none,20,1.0482274508523426,1.0482274508523426,0.0,23.715584326441018,23.715584326441018,0.0,{}
146,0,12139,3,0.9798657718120806,0.9798657718120806,0.0,1.0,0.9898305084745762,0.9798657718120806,none,none,21,0.9068095903975193,0.9068095903975193,0.0,23.26121359041045,23.26121359041045,0.0,{}
140,0,12139,9,0.9395973154362416,0.9395973154362416,0.0,1.0,0.9688581314878892,0.9395973154362416,none,none,22,0.7962807325814497,0.7962807325814497,0.0,22.574008719215016,22.574008719215016,0.0,{}
142,0,12139,7,0.9530201342281879,0.9530201342281879,0.0,1.0,0.9759450171821306,0.9530201342281879,none,none,23,0.7846932406097991,0.7846932406097991,0.0,22.903523272324293,22.903523272324293,0.0,{}
149,143,11996,0,1.0,1.0,0.011780212538100339,0.5102739726027398,0.6757369614512472,0.5102739726027398,gaussian,gaussian_k3_s1,0,0.8729022746261866,2.2354201355550423,1.3625178609288557,23.19522589570633,21.048904418945312,-2.146321476761017,"{'ksize': 3, 'sigma': 1.0}"
149,124,12015,0,1.0,1.0,0.010215009473597495,0.5457875457875457,0.7061611374407583,0.5457875457875457,gaussian,gaussian_k3_s1,1,0.9132258850474145,2.316406302797984,1.4031804177505696,23.417759761038013,21.410598754882812,-2.0071610061552008,"{'ksize': 3, 'sigma': 1.0}"
149,169,11970,0,1.0,1.0,0.01392206936320949,0.46855345911949686,0.6381156316916489,0.46855345911949686,gaussian,gaussian_k3_s1,2,0.7472847494486167,1.9419829904392074,1.1946982409905909,22.423951962087614,20.42108154296875,-2.0028704191188638,"{'ksize': 3, 'sigma': 1.0}"
141,101,12038,8,0.9463087248322147,0.9463087248322147,0.008320289974462476,0.5826446280991735,0.7212276214833759,0.564,gaussian,gaussian_k3_s1,3,1.1062823845290635,2.6026162768556707,1.4963338923266072,26.000810869276535,21.833831787109375,-4.16697908216716,"{'ksize': 3, 'sigma': 1.0}"
